DSH Community Installer third-party package inventory
=====================================================

Generated from the pnpm 11.7.0 offline payload for DSH 0.1.0-rc.7.
Package count: 446

Format: package path | version | SPDX license
node_modules/@opentelemetry/api | 1.9.1 | Apache-2.0
node_modules/@opentelemetry/api-logs | 0.220.0 | Apache-2.0
node_modules/@opentelemetry/core | 2.9.0 | Apache-2.0
node_modules/@opentelemetry/exporter-logs-otlp-http | 0.220.0 | Apache-2.0
node_modules/@opentelemetry/otlp-exporter-base | 0.220.0 | Apache-2.0
node_modules/@opentelemetry/otlp-transformer | 0.220.0 | Apache-2.0
node_modules/@opentelemetry/resources | 2.9.0 | Apache-2.0
node_modules/@opentelemetry/sdk-logs | 0.220.0 | Apache-2.0
node_modules/@opentelemetry/sdk-metrics | 2.9.0 | Apache-2.0
node_modules/@opentelemetry/sdk-trace | 2.9.0 | Apache-2.0
node_modules/@opentelemetry/semantic-conventions | 1.43.0 | Apache-2.0
node_modules/@protobufjs/aspromise | 1.1.2 | BSD-3-Clause
node_modules/@protobufjs/base64 | 1.1.2 | BSD-3-Clause
node_modules/@protobufjs/codegen | 2.0.5 | BSD-3-Clause
node_modules/@protobufjs/eventemitter | 1.1.1 | BSD-3-Clause
node_modules/@protobufjs/fetch | 1.1.1 | BSD-3-Clause
node_modules/@protobufjs/float | 1.0.2 | BSD-3-Clause
node_modules/@protobufjs/path | 1.1.2 | BSD-3-Clause
node_modules/@protobufjs/pool | 1.1.0 | BSD-3-Clause
node_modules/@protobufjs/utf8 | 1.1.2 | BSD-3-Clause
node_modules/@smithy/core | 3.33.2 | Apache-2.0
node_modules/@smithy/credential-provider-imds | 4.5.2 | Apache-2.0
node_modules/@smithy/fetch-http-handler | 5.7.2 | Apache-2.0
node_modules/@smithy/is-array-buffer | 2.2.0 | Apache-2.0
node_modules/@smithy/node-http-handler | 4.7.3 | Apache-2.0
node_modules/@smithy/signature-v4 | 5.7.2 | Apache-2.0
node_modules/@smithy/types | 4.17.2 | Apache-2.0
node_modules/@smithy/util-buffer-from | 2.2.0 | Apache-2.0
node_modules/@smithy/util-utf8 | 2.3.0 | Apache-2.0
node_modules/@standard-schema/spec | 1.1.0 | MIT
node_modules/@tanstack/react-virtual | 3.14.10 | MIT
node_modules/@tanstack/virtual-core | 3.17.8 | MIT
node_modules/@types/node | 26.2.0 | MIT
node_modules/@types/retry | 0.12.0 | MIT
node_modules/@vscode/ripgrep | 1.18.0 | MIT
node_modules/@vscode/ripgrep-win32-x64 | 1.18.0 | MIT
node_modules/accepts | 2.0.0 | MIT
node_modules/agent-base | 7.1.4 | MIT
node_modules/ajv | 8.20.0 | MIT
node_modules/ajv-formats | 3.0.1 | MIT
node_modules/argparse | 2.0.1 | Python-2.0
node_modules/base64-js | 1.5.1 | MIT
node_modules/bignumber.js | 9.3.1 | MIT
node_modules/body-parser | 2.3.0 | MIT
node_modules/bowser | 2.14.1 | MIT
node_modules/buffer-equal-constant-time | 1.0.1 | BSD-3-Clause
node_modules/bundle-name | 4.1.0 | MIT
node_modules/bytes | 3.1.2 | MIT
node_modules/call-bind-apply-helpers | 1.0.2 | MIT
node_modules/call-bound | 1.0.4 | MIT
node_modules/chokidar | 4.0.3 | MIT
node_modules/clsx | 2.1.1 | MIT
node_modules/commander | 15.0.0 | MIT
node_modules/content-disposition | 1.1.0 | MIT
node_modules/content-type | 2.1.0 | MIT
node_modules/cookie | 0.7.2 | MIT
node_modules/cookie-signature | 1.2.2 | MIT
node_modules/cors | 2.8.6 | MIT
node_modules/cross-spawn | 7.0.6 | MIT
node_modules/data-uri-to-buffer | 4.0.1 | MIT
node_modules/debug | 4.4.3 | MIT
node_modules/default-browser | 5.5.1 | MIT
node_modules/default-browser-id | 5.0.1 | MIT
